UserID    Attendance date     
103000011 2021-03-11 07:55:59 
103000093 2021-03-11 07:44:44 
103000111 2021-03-11 07:58:19 
103000112 2021-03-11 07:32:42 
103000118 2021-03-11 08:01:20 
103000124 2021-03-11 08:00:24 
103000134 2021-03-11 07:46:30 
103000135 2021-03-11 08:01:18 
103000142 2021-03-11 07:59:36 
103000158 2021-03-11 07:58:50 
103000333 2021-03-11 07:32:36 
103000574 2021-03-11 07:48:08 
103000607 2021-03-11 07:29:16 
103000616 2021-03-11 07:47:18 
103000978 2021-03-11 07:38:05 
103001151 2021-03-11 07:45:24 
103001463 2021-03-11 02:32:27 
103001463 2021-03-11 02:33:48 
103001463 2021-03-11 09:42:01 
103001468 2021-03-11 07:48:43 
103001468 2021-03-11 08:01:01 
103001469 2021-03-11 07:54:30 
103001470 2021-03-11 07:56:39 
103001473 2021-03-11 07:56:17 
103001482 2021-03-11 07:59:54 
103001484 2021-03-11 07:48:06 
103001485 2021-03-11 07:59:15 
103001488 2021-03-11 08:01:10 
103001505 2021-03-11 07:42:18 
103001507 2021-03-11 07:36:40 
103001508 2021-03-11 07:52:48 
103001509 2021-03-11 07:44:19 
103002355 2021-03-11 07:37:07 
103002385 2021-03-11 07:44:10 
103002387 2021-03-11 07:42:25 
103002393 2021-03-11 07:36:06 
103002393 2021-03-11 07:36:07 
103002396 2021-03-11 07:39:05 
103002397 2021-03-11 07:40:53 
103002398 2021-03-11 07:41:17 
103002407 2021-03-11 07:44:28 
103002410 2021-03-11 07:42:05 
103002414 2021-03-11 07:42:10 
103002423 2021-03-11 07:40:43 
103002460 2021-03-11 07:35:14 
103002461 2021-03-11 07:38:08 
103002464 2021-03-11 07:41:58 
103002481 2021-03-11 07:42:32 
103002498 2021-03-11 07:44:51 
103002508 2021-03-11 07:43:01 
103002519 2021-03-11 07:38:59 
103002521 2021-03-11 07:50:50 
103002522 2021-03-11 07:46:08 
103003918 2021-03-11 07:49:04 
103003921 2021-03-11 07:37:40 
103003924 2021-03-11 07:53:42 
103003926 2021-03-11 07:45:38 
103003955 2021-03-11 07:41:35 
103003960 2021-03-11 07:57:49 
103003961 2021-03-11 07:39:44 
103003966 2021-03-11 07:42:01 
103003972 2021-03-11 07:42:37 
103003975 2021-03-11 07:43:56 
103003981 2021-03-11 07:49:25 
103003982 2021-03-11 07:49:53 
103003986 2021-03-11 07:42:23 
103003988 2021-03-11 07:57:28 
103003991 2021-03-11 00:30:18 
103003991 2021-03-11 03:13:45 
103003991 2021-03-11 03:13:47 
103003991 2021-03-11 03:24:59 
103003991 2021-03-11 07:27:37 
103003991 2021-03-11 07:27:41 
103003992 2021-03-11 02:06:11 
103003992 2021-03-11 07:41:24 
103003993 2021-03-11 07:45:37 
103003994 2021-03-11 07:44:04 
103003998 2021-03-11 07:46:27 
103003999 2021-03-11 07:41:39 
103004000 2021-03-11 07:43:56 
103004002 2021-03-11 07:26:33 
103004002 2021-03-11 07:28:27 
103004014 2021-03-11 07:49:18 
103004045 2021-03-11 07:26:15 
103004061 2021-03-11 08:00:49 
103004063 2021-03-11 07:30:57 
103004066 2021-03-11 07:35:05 
103004950 2021-03-11 07:26:11 
103004953 2021-03-11 07:29:09 
103004955 2021-03-11 07:36:45 
103004956 2021-03-11 07:25:41 
103005247 2021-03-11 07:59:43 
103005252 2021-03-11 07:42:49 
103005255 2021-03-11 07:59:31 
103005285 2021-03-11 07:36:36 
103005296 2021-03-11 07:36:13 
103005311 2021-03-11 07:38:18 
103006192 2021-03-11 07:40:26 
103006432 2021-03-11 07:41:35 
103006633 2021-03-11 07:40:49 
103006755 2021-03-11 07:48:00 
103007094 2021-03-11 07:33:46 
103007205 2021-03-11 07:35:23 
103007206 2021-03-11 07:54:14 
103007209 2021-03-11 07:53:33 
103007217 2021-03-11 07:37:24 
103007220 2021-03-11 07:32:28 
103007233 2021-03-11 07:58:14 
103007481 2021-03-11 07:45:41 
103007489 2021-03-11 07:38:27 
103007490 2021-03-11 07:37:58 
103007791 2021-03-11 07:59:51 
103007817 2021-03-11 08:00:21 
103007871 2021-03-11 07:59:31 
103007985 2021-03-11 07:26:19 
103008023 2021-03-11 07:32:22 
103008112 2021-03-11 07:59:20 
103008394 2021-03-11 07:59:09 
103008399 2021-03-11 07:54:54 
103008402 2021-03-11 07:56:26 
103008992 2021-03-11 07:40:07 
103008995 2021-03-11 07:35:09 
103009443 2021-03-11 07:56:38 
103009787 2021-03-11 07:40:29 
103010057 2021-03-11 08:00:24 
103010116 2021-03-11 07:37:35 
103010117 2021-03-11 07:58:40 
103010302 2021-03-11 07:48:29 
103010394 2021-03-11 07:49:08 
103010433 2021-03-11 07:59:02 
103010435 2021-03-11 07:56:32 
103010440 2021-03-11 07:25:10 
103010569 2021-03-11 07:37:29 
103010675 2021-03-11 07:38:13 
103010677 2021-03-11 07:42:22 
103010986 2021-03-11 07:38:16 
103010999 2021-03-11 07:54:26 
103011079 2021-03-11 08:01:05 
103011218 2021-03-11 07:30:12 
103011479 2021-03-11 07:52:34 
103011481 2021-03-11 08:00:19 
103011482 2021-03-11 07:45:23 
103011572 2021-03-11 07:56:04 
103011700 2021-03-11 07:43:47 
103012241 2021-03-11 07:42:32 
103012244 2021-03-11 07:42:38 
103012253 2021-03-11 07:47:29 
103012255 2021-03-11 07:59:01 
103012439 2021-03-11 07:57:23 
103012582 2021-03-11 07:47:27 
103012683 2021-03-11 07:54:09 
103012702 2021-03-11 07:42:48 
103012705 2021-03-11 07:40:38 
103012709 2021-03-11 07:44:06 
103012768 2021-03-11 07:30:19 
103013208 2021-03-11 07:44:48 
103013223 2021-03-11 07:45:34 
103013244 2021-03-11 07:37:41 
103013244 2021-03-11 07:37:45 
103013780 2021-03-11 07:54:32 
103013845 2021-03-11 08:01:02 
103014219 2021-03-11 07:41:54 
103014222 2021-03-11 07:55:38 
103014387 2021-03-11 07:43:50 
103014501 2021-03-11 08:00:38 
103014748 2021-03-11 07:47:33 
103014818 2021-03-11 07:42:49 
103014827 2021-03-11 07:38:53 
103014829 2021-03-11 07:42:43 
103014943 2021-03-11 07:52:45 
103015155 2021-03-11 07:36:56 
103015261 2021-03-11 07:46:16 
103015302 2021-03-11 07:36:20 
103015326 2021-03-11 07:58:07 
103015329 2021-03-11 07:46:49 
103015572 2021-03-11 07:37:19 
103015580 2021-03-11 07:46:38 
103015840 2021-03-11 07:44:20 
